tr2010gj,tr2010ge,tr2020gj,tr2020ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G2100270960502,21027960502,G2100270960400,21027960400,0,0,0,0,0,0,0,0
G2100270960502,21027960502,G2100270960502,21027960502,1,1,1,1,1,1,1,1
G2100290020101,21029020101,G2100290020101,21029020101,1,1,1,1,1,1,1,1
G2100290020102,21029020102,G2100290020102,21029020102,0.9990459028,1,1,1,1,1,1,1
G2100290020102,21029020102,G2100290020103,21029020103,0.0009540972,0,0,0,0,0,0,0
G2100290020103,21029020103,G2100290020103,21029020103,1,1,1,1,1,1,1,1
G2100290020201,21029020201,G2100290020201,21029020201,0.9999082626,0.9999922003,0.9999927868,0.9999924661,0.9999921521,0.9999919498,0.999992164,0.9999920454
G2100290020201,21029020201,G2100290020202,21029020202,0.0000917374,0.0000077997,0.0000072132,0.0000075339,0.0000078479,0.0000080502,0.000007836,0.0000079546
G2100290020202,21029020202,G2100290020201,21029020201,0.0000307304,0,0,0,0,0,0,0
G2100290020202,21029020202,G2100290020202,21029020202,0.9999692696,1,1,1,1,1,1,1
G2100290020300,21029020300,G2100290020300,21029020300,1,1,1,1,1,1,1,1
G2100290020400,21029020400,G2100290020300,21029020300,0.0000662497,0,0,0,0,0,0,0
G2100290020400,21029020400,G2100290020401,21029020401,0.4490875493,0.2672712284,0.2908633697,0.2823072657,0.2902807775,0.2911813644,0.2656481025,0.465034965
G2100290020400,21029020400,G2100290020402,21029020402,0.550846201,0.7327287716,0.7091366303,0.7176927343,0.7097192225,0.7088186356,0.7343518975,0.534965035
G2100290020500,21029020500,G2100290020402,21029020402,0.0719514432,0.0016037063,0.001979708,0.0019933555,0.0014858841,0.0014265335,0.0013166557,0.002
G2100290020500,21029020500,G2100290020501,21029020501,0.5282173527,0.5924803991,0.5939123979,0.5920265781,0.5953442298,0.5934379458,0.5898617512,0.612
G2100290020500,21029020500,G2100290020502,21029020502,0.3998312041,0.4059158945,0.4041078941,0.4059800664,0.4031698861,0.4051355207,0.4088215932,0.386
G2100290020601,21029020601,G2100290020401,21029020401,0.0497919211,0.0125523013,0.0132434944,0.0099255583,0.0135450724,0.0134892086,0.0146892655,0.0080862534
G2100290020601,21029020601,G2100290020601,21029020601,0.9494788215,0.9874476987,0.9867565056,0.9900744417,0.9864549276,0.9865107914,0.9853107345,0.9919137466
G2100290020601,21029020601,G2100290020602,21029020602,0.0007292573,0,0,0,0,0,0,0
G2100290020602,21029020602,G2100290020401,21029020401,0.0809865228,0.0210422867,0.0183707455,0.0165278852,0.0188464262,0.0227645959,0.0168182777,0.0446786339
G2100290020602,21029020602,G2100290020602,21029020602,0.9190134772,0.9789577133,0.9816292545,0.9834721148,0.9811535738,0.9772354041,0.9831817223,0.9553213661
G2100290020701,21029020701,G2100290020702,21029020702,0.0004795697,0,0,0,0,0,0,0
G2100290020701,21029020701,G2100290020703,21029020703,0.7589227106,0.5119008803,0.535632709,0.5124317768,0.5434042553,0.5430384768,0.4975369458,0.6135629709
G2100290020701,21029020701,G2100290020704,21029020704,0.2405977197,0.4880991197,0.464367291,0.4875682232,0.4565957447,0.4569615232,0.5024630542,0.3864370291
G2100290020702,21029020702,G2100290020702,21029020702,0.9999919805,0.9999985273,0.9999985593,0.9999985937,0.9999984819,0.9999985228,0.9999995725,0.9999967736
G2100290020702,21029020702,G2100290020800,21029020800,0.0000080195,0.0000014727,0.0000014407,0.0000014063,0.0000015181,0.0000014772,0.0000004275,0.0000032264
G2100290020800,21029020800,G2100290020800,21029020800,0.9975677913,1,1,1,1,1,1,1
G2100290020800,21029020800,G2100290980100,21029980100,0.0024322087,0,0,0,0,0,0,0
G2100290020900,21029020900,G2100290020900,21029020900,1,1,1,1,1,1,1,1
G2100290021101,21029021101,G2100290021103,21029021103,0.4895659103,0.2013217279,0.2190432593,0.2348623853,0.2126022126,0.2091651543,0.2502979738,0.0548628429
G2100290021101,21029021101,G2100290021104,21029021104,0.5104340897,0.7986782721,0.7809567407,0.7651376147,0.7873977874,0.7908348457,0.7497020262,0.9451371571
G2100290021102,21029021102,G2100290021102,21029021102,1,1,1,1,1,1,1,1
G2100290021200,21029021200,G2100290021200,21029021200,0.9998848127,1,1,1,1,1,1,1
G2100290021200,21029021200,G2100290980100,21029980100,0.0001151873,0,0,0,0,0,0,0
G2100290980100,21029980100,G2100290021200,21029021200,0.002278401,0.002278401,0.002278401,0.002278401,0.002278401,0.002278401,0.002278401,0.002278401
G2100290980100,21029980100,G2100290980100,21029980100,0.997721599,0.997721599,0.997721599,0.997721599,0.997721599,0.997721599,0.997721599,0.997721599
G2100310930100,21031930100,G2100310930100,21031930100,1,1,1,1,1,1,1,1
G2100310930200,21031930200,G2100310930200,21031930200,1,1,1,1,1,1,1,1
G2100310930200,21031930200,G2100310930302,21031930302,0,0,0,0,0,0,0,0
G2100310930300,21031930300,G2100310930301,21031930301,0.6856235382,0.3217519478,0.3147042865,0.3552735924,0.3089304258,0.3117977528,0.4295532646,0.124671916
G2100310930300,21031930300,G2100310930302,21031930302,0.3143764618,0.6782480522,0.6852957135,0.6447264076,0.6910695742,0.6882022472,0.5704467354,0.875328084
G2100310930300,21031930300,G2100310930500,21031930500,0,0,0,0,0,0,0,0
G2100310930400,21031930400,G2100310930400,21031930400,1,1,1,1,1,1,1,1
G2100310930500,21031930500,G2100310930301,21031930301,0.0001673935,0.0000682696,0.0000752409,0.000074951,0.0000727037,0.0000828903,0.0000646209,0.000119133
G2100310930500,21031930500,G2100310930500,21031930500,0.9998326065,0.9999317304,0.9999247591,0.999925049,0.9999272963,0.9999171097,0.9999353791,0.999880867
G2100330920100,21033920100,G2100330920100,21033920100,1,1,1,1,1,1,1,1
